zcta,total_population,median_household_income
00601,16721,18571.0
00602,37510,21702.0
00603,48317,19243.0
00606,5435,20226.0
00610,25413,23732.0
00611,1522,22566.0
00612,62462,23831.0
00616,9836,21391.0
00617,22699,22010.0
00622,7950,26682.0
00623,39005,25614.0
00624,21374,21091.0
00627,32753,26094.0
00631,1357,18295.0
00636,1071,
00637,22884,20665.0
00638,17410,20878.0
00641,23962,17839.0
00646,36099,33184.0
00647,4611,20357.0
00650,13457,19811.0
00652,4492,31653.0
00653,8665,15225.0
00656,17815,21511.0
00659,37203,27297.0
00660,15439,24829.0
00662,40705,20673.0
00664,14816,18065.0
00667,23116,18729.0
00669,27534,19198.0
00670,8553,16278.0
00674,39288,20039.0
00676,36836,21230.0
00677,15432,24746.0
00678,24848,22994.0
00680,42817,17857.0
00682,29939,18067.0
00683,29431,18231.0
00685,40323,17909.0
00687,28534,23010.0
00688,10985,18014.0
00690,6275,24386.0
00692,32717,25486.0
00693,55725,24072.0
00694,125,15938.0
00698,32945,21921.0
00703,24642,22147.0
00704,6433,23330.0
00705,24475,21806.0
00707,10400,19173.0
00714,15573,18931.0
00715,2003,15743.0
00716,27705,19522.0
00717,14651,13282.0
00718,23174,21481.0
00719,29732,21089.0
00720,20974,19049.0
00723,15835,23599.0
00725,76246,27505.0
00727,53412,33403.0
00728,37322,20351.0
00729,47653,28765.0
00730,31976,18077.0
00731,10221,16917.0
00735,11159,23009.0
00736,45528,28652.0
00738,29797,25365.0
00739,34595,26801.0
00740,1959,23173.0
00741,3733,25827.0
00745,47077,26980.0
00751,19596,20947.0
00754,36822,21193.0
00757,19974,23350.0
00765,8147,17531.0
00766,21829,24906.0
00767,30453,21414.0
00769,33953,20514.0
00771,35165,25662.0
00772,16961,18408.0
00773,17631,23769.0
00775,1281,27614.0
00777,37243,28175.0
00778,40391,39564.0
00780,13612,26483.0
00782,18397,17090.0
00783,34266,24429.0
00784,35405,20347.0
00786,135,
00791,45912,25925.0
00794,28450,22128.0
00795,43212,23391.0
00901,6762,25810.0
00906,46,
00907,15911,42116.0
00909,5466,26066.0
00911,7430,44008.0
00912,6219,29418.0
00913,6700,6229.0
00915,24484,14502.0
00917,18216,19516.0
00918,16379,36872.0
00920,16403,29914.0
00921,34197,21797.0
00923,24826,18482.0
00924,47800,22433.0
00925,4777,14940.0
00926,93308,39543.0
00927,13675,39838.0
00934,80,
00949,66714,33380.0
00950,0,
00951,399,22222.0
00952,8488,21960.0
00953,66475,33888.0
00956,67050,28674.0
00957,40357,29663.0
00959,46409,31400.0
00960,3340,
00961,28891,37015.0
00962,19213,20134.0
00965,5886,16516.0
00966,17715,56421.0
00968,3488,60353.0
00969,41619,58205.0
00971,25499,32098.0
00976,61306,38087.0
00979,15597,35521.0
00982,13839,26550.0
00983,31583,33930.0
00985,31783,35012.0
00987,55039,40295.0
01001,16136,71924.0
01002,24726,69411.0
01003,12458,
01005,4786,97390.0
01007,15406,99056.0
01008,1324,90625.0
01009,790,70763.0
01010,3694,101477.0
01011,1205,87012.0
01012,387,75526.0
01013,22950,64039.0
01020,30230,70971.0
01022,2045,56307.0
01026,1005,98438.0
01027,17678,73657.0
01028,16283,100997.0
01029,652,99188.0
01030,12374,92485.0
01031,1715,58125.0
01032,503,79583.0
01033,6088,110188.0
01034,2100,103603.0
01035,5299,117580.0
01036,4937,110703.0
01037,486,84022.0
01038,2534,112083.0
01039,1660,115114.0
01040,37949,51892.0
01050,2573,96328.0
01053,2033,88646.0
01054,1704,113750.0
01056,20846,78981.0
01057,8200,90436.0
01060,15237,75077.0
01062,9188,87800.0
01063,2121,250001.0
01066,115,
01068,1623,96207.0
01069,9077,79725.0
01070,593,72083.0
01071,1219,107292.0
01072,1447,103188.0
01073,6212,125534.0
01074,749,76859.0
01075,17410,93646.0
01077,9222,108833.0
01079,282,
01080,2308,87188.0
01081,1704,87337.0
01082,10418,71023.0
01083,2746,92558.0
01084,101,91667.0
01085,41466,83821.0
01088,654,53472.0
01089,28635,70401.0
01092,1123,70938.0
01093,149,
01094,64,109000.0
01095,14615,124682.0
01096,2566,105729.0
01097,45,
01098,1019,93000.0
01103,2336,21458.0
01104,21745,47530.0
01105,11469,22994.0
01106,15961,143961.0
01107,12270,31969.0
01108,27409,51851.0
01109,31418,46821.0
01118,15009,80906.0
01119,14059,59172.0
01128,3252,92125.0
01129,5993,92500.0
01144,0,
01151,9627,57113.0
01201,45072,68879.0
01220,8106,56285.0
01222,611,84583.0
01223,2588,82773.0
01224,201,
01225,3234,72028.0
01226,6304,81168.0
01229,213,
01230,8813,82871.0
01235,2456,76699.0
01236,1593,91172.0
01237,2269,84419.0
01238,5893,74469.0
01240,5024,99745.0
01242,165,
01243,196,89063.0
01244,243,59655.0
01245,828,113750.0
01247,14967,55544.0
01253,903,108068.0
01254,962,113304.0
01255,850,85417.0
01256,733,55000.0
01257,2331,80227.0
01258,191,127813.0
01259,778,125795.0
01260,20,
01262,1652,142679.0
01264,184,85313.0
01266,919,98828.0
01267,7985,98750.0
01270,1002,104961.0
01301,17876,54347.0
01330,1711,81691.0
01331,13865,68345.0
01337,2515,79274.0
01338,79,
01339,1361,72841.0
01340,1807,82578.0
01341,1605,93250.0
01342,1313,100917.0
01343,190,84271.0
01344,1639,74550.0
01346,453,111150.0
01347,114,72500.0
01349,753,69712.0
01350,115,64375.0
01351,2644,99375.0
01354,1831,90000.0
01355,963,80327.0
01360,2875,102470.0
01364,7668,54061.0
01366,1173,107656.0
01367,574,89375.0
01368,1497,101875.0
01370,3641,76715.0
01373,4784,102578.0
01375,3653,61442.0
01376,5032,57857.0
01378,861,95000.0
01379,742,68750.0
01380,32,70893.0
01420,41677,70334.0
01430,6450,115146.0
01431,3188,110536.0
01432,8124,105142.0
01434,1889,109651.0
01436,3720,88421.0
01438,192,
01440,21298,63526.0
01450,11228,189355.0
01451,5359,206607.0
01452,4339,102344.0
01453,43635,82098.0
01460,10150,146250.0
01462,11822,109884.0
01463,11693,126824.0
01464,7017,121875.0
01468,4157,110938.0
01469,6803,113162.0
01473,8289,101161.0
01474,2249,130156.0
01475,10194,85638.0
01501,16780,101929.0
01503,3311,122411.0
01504,9211,98986.0
01505,4896,124732.0
01506,3442,71875.0
01507,13359,119809.0
01510,15430,93849.0
01515,2120,76382.0
01516,9287,147859.0
01518,2835,111193.0
01519,7738,153750.0
01520,16864,147582.0
01521,2576,86806.0
01522,3021,118824.0
01523,8470,130444.0
01524,6110,93191.0
01525,0,
01527,13899,116000.0
01529,3156,115789.0
01531,925,99375.0
01532,15694,174358.0
01534,6097,134539.0
01535,4739,81010.0
01536,7119,105795.0
01537,1821,94261.0
01540,11521,118389.0
01541,3500,150577.0
01542,2572,107674.0
01543,9202,155504.0
01545,38440,136225.0
01550,17806,59397.0
01560,4914,98884.0
01561,0,
01562,11961,79086.0
01564,8111,136027.0
01566,7054,135802.0
01568,7926,161429.0
01569,14127,122458.0
01570,17674,68934.0
01571,11886,85179.0
01581,21591,134474.0
01583,7516,100427.0
01585,4942,70753.0
01588,10357,88735.0
01590,9287,155938.0
01602,25791,94351.0
01603,21034,63646.0
01604,39988,72911.0
01605,31086,54805.0
01606,22269,92537.0
01607,8755,66365.0
01608,4951,45962.0
01609,23184,61411.0
01610,28719,43757.0
01611,2401,118389.0
01612,4996,133750.0
01701,32270,127000.0
01702,39761,78784.0
01718,528,125972.0
01719,5468,151000.0
01720,23322,154101.0
01721,18694,127106.0
01730,14478,158286.0
01731,1745,101194.0
01740,5698,198475.0
01741,5209,250001.0
01742,18337,211435.0
01745,660,180833.0
01746,14964,154684.0
01747,6024,115216.0
01748,19050,204418.0
01749,19959,107202.0
01752,41398,95047.0
01754,10663,119549.0
01756,6266,129837.0
01757,30473,92951.0
01760,36520,134644.0
01770,4404,247500.0
01772,9781,196680.0
01773,5257,197292.0
01775,7109,177862.0
01776,19067,234634.0
01778,13915,219531.0
01801,41205,107754.0
01803,26068,142421.0
01810,35608,167591.0
01821,30203,142564.0
01824,26628,141337.0
01826,32373,111451.0
01827,3375,202379.0
01830,26685,79784.0
01832,26065,81141.0
01833,8380,153565.0
01834,6747,135521.0
01835,14637,108275.0
01840,7092,34630.0
01841,52761,54525.0
01843,28444,72163.0
01844,53015,103292.0
01845,31881,134319.0
01850,16983,67581.0
01851,32308,87962.0
01852,36700,77058.0
01854,28808,70397.0
01860,6707,116477.0
01862,11703,131214.0
01863,9592,136284.0
01864,15634,150820.0
01867,25474,163407.0
01876,30962,126795.0
01879,12435,144167.0
01880,27258,130419.0
01886,24584,181523.0
01887,23195,161473.0
01890,22862,218176.0
01901,1934,27561.0
01902,51680,66755.0
01904,20103,100597.0
01905,27188,84341.0
01906,28599,100819.0
01907,15279,127714.0
01908,3328,111004.0
01913,17277,100599.0
01915,41656,102347.0
01921,8229,190526.0
01922,3791,179896.0
01923,27778,117072.0
01929,3605,151509.0
01930,29862,87898.0
01937,146,
01938,13820,124405.0
01940,13183,171044.0
01944,5368,197875.0
01945,20390,164325.0
01949,9727,171458.0
01950,18444,144259.0
01951,2938,175779.0
01952,9217,102521.0
01960,53961,95173.0
01965,752,250001.0
01966,6977,93227.0
01969,6214,117177.0
01970,44115,85189.0
01982,7646,127137.0
01983,6535,176698.0
01984,4930,187652.0
01985,4536,189048.0
02019,17160,120966.0
02021,24459,128341.0
02025,8358,187060.0
02026,25109,124375.0
02030,5893,250001.0
02032,4914,180100.0
02035,18516,108559.0
02038,33067,142788.0
02043,24185,181017.0
02045,10098,127112.0
02047,142,151000.0
02048,23855,131409.0
02050,25903,125436.0
02052,12923,214801.0
02053,13251,174357.0
02054,8699,149021.0
02056,11556,197379.0
02061,11309,182637.0
02062,31380,97110.0
02066,18895,131889.0
02067,18478,183724.0
02071,1677,207878.0
02072,29074,104164.0
02081,19703,150233.0
02090,16213,205000.0
02093,12305,147930.0
02108,4178,212664.0
02109,3714,177500.0
02110,2178,132239.0
02111,8067,70865.0
02113,6522,110321.0
02114,13853,135057.0
02115,28621,53398.0
02116,22040,127309.0
02118,28522,90142.0
02119,26851,43255.0
02120,15248,61472.0
02121,28298,38565.0
02122,23471,82945.0
02124,55897,79168.0
02125,33069,71810.0
02126,25313,67206.0
02127,36646,156373.0
02128,44124,92079.0
02129,19994,157192.0
02130,41109,130533.0
02131,31564,109237.0
02132,27069,139545.0
02133,80,
02134,17637,75317.0
02135,43683,88208.0
02136,38071,96862.0
02138,38077,122040.0
02139,39609,124648.0
02140,21361,136382.0
02141,14677,120542.0
02142,4349,168788.0
02143,25161,126102.0
02144,25009,140591.0
02145,27929,119167.0
02148,65509,95298.0
02149,49236,79658.0
02150,39444,72122.0
02151,59949,80948.0
02152,18807,106357.0
02155,61276,118403.0
02163,1852,74028.0
02169,60928,92080.0
02170,19685,101840.0
02171,20513,104992.0
02176,29488,126854.0
02180,22986,112635.0
02184,38762,125305.0
02186,28716,177222.0
02188,15396,102236.0
02189,15231,91842.0
02190,19029,99024.0
02191,8130,116496.0
02199,1253,118367.0
02203,0,
02205,0,
02210,6554,178833.0
02215,24054,65827.0
02301,68608,72727.0
02302,36472,87560.0
02322,4753,129487.0
02324,26022,112445.0
02325,2647,
02330,11645,78955.0
02332,16110,171471.0
02333,14420,128679.0
02338,7734,106851.0
02339,14800,174821.0
02341,10466,112457.0
02343,11267,107198.0
02346,24360,91914.0
02347,11732,126182.0
02350,149,86023.0
02351,17008,119787.0
02356,12547,124719.0
02357,1410,
02359,18335,141332.0
02360,62405,111975.0
02364,13782,115863.0
02366,251,
02367,2934,119750.0
02368,34736,103321.0
02370,17709,101475.0
02375,11205,117717.0
02379,7682,124483.0
02382,15215,107794.0
02420,16287,233068.0
