State,terrain_mean_elevation_m,terrain_ruggedness
AL,129.0,46.081449629975836
AK,311.77777777777777,114.90189051727758
AZ,1166.0,534.4396598307427
AR,211.77777777777777,149.24290416781778
CA,986.5555555555555,1185.4845118253454
CO,2570.5555555555557,655.8782492031412
CT,129.55555555555554,138.93803574895458
DE,19.333333333333332,24.794152536434876
DC,101.22222222222223,117.25802507480861
FL,28.11111111111111,17.287599923387603
GA,120.22222222222223,49.08099881262039
HI,142.11111111111111,309.78720294923596
ID,2107.6666666666665,300.7286983312367
IL,203.11111111111111,16.907427690548054
IN,238.44444444444446,31.484564119227976
IA,308.22222222222223,27.84231392044211
KS,485.8888888888889,51.82047000087042
KY,223.88888888888889,42.65689992382371
LA,38.55555555555556,34.75309738394231
ME,147.77777777777777,112.84478031546007
MD,62.22222222222222,59.72390178516843
MA,169.22222222222223,115.60793417600907
MI,293.22222222222223,95.09308305257773
MN,416.22222222222223,26.952633348978065
MS,101.33333333333333,36.513696060519536
MO,255.66666666666666,34.831738400487566
MT,1526.7777777777778,388.9070511631853
NE,775.2222222222222,71.8414535240236
NV,1989.0,388.40185375458753
NH,316.77777777777777,167.6915157199208
NJ,43.44444444444444,41.593602606383804
NM,1789.111111111111,197.9876539360753
NY,433.3333333333333,126.18736069828866
NC,121.11111111111111,75.72721512845374
ND,543.0,67.43330037896706
OH,315.8888888888889,41.486276177925525
OK,349.1111111111111,42.919821890486816
OR,1308.5555555555557,274.84728082660337
PA,401.6666666666667,156.70274407297404
RI,68.22222222222223,90.90211463131342
SC,74.22222222222223,32.556787993357766
SD,586.7777777777778,35.82170353911779
TN,285.55555555555554,110.14661945687565
TX,496.0,79.01898506055365
UT,2230.777777777778,447.4837365139033
VT,273.77777777777777,149.07278237305576
VA,220.88888888888889,137.4776749552854
WA,1076.111111111111,415.9247060600165
WV,539.5555555555555,271.15037853150375
WI,343.0,72.65500670979254
WY,1833.3333333333333,264.62709611829246
