install_year,charger_level,station_count,total_ports
2010,DCFC,3,44
2010,Level1,1,1
2010,Level2,29,197
2011,DCFC,77,207
2011,Level1,3,56
2011,Level2,230,550
2012,DCFC,112,290
2012,Level1,6,13
2012,Level2,468,1198
2013,DCFC,67,570
2013,Level1,5,75
2013,Level2,288,799
2014,DCFC,81,585
2014,Level1,11,54
2014,Level2,682,1831
2015,DCFC,145,1170
2015,Level1,2,2
2015,Level2,1310,3172
2016,DCFC,153,879
2016,Level1,5,43
2016,Level2,1343,3401
2017,DCFC,87,620
2017,Level1,5,17
2017,Level2,1696,4934
2018,DCFC,445,3198
2018,Level1,5,15
2018,Level2,1696,5658
2019,DCFC,548,3323
2019,Level1,8,39
2019,Level2,1999,5526
2020,DCFC,864,4992
2020,Level1,1,1
2020,Level2,4616,11402
2021,DCFC,1297,5525
2021,Level1,19,81
2021,Level2,11979,25582
2022,DCFC,1384,7021
2022,Level1,5,40
2022,Level2,8197,21220
2023,DCFC,2408,11281
2023,Level1,3,7
2023,Level2,9003,23748
2024,DCFC,3046,14095
2024,Level1,4,8
2024,Level2,8953,27097
2025,DCFC,3263,17566
2025,Level1,4,9
2025,Level2,9141,24504
2026,DCFC,493,2421
2026,Level2,1587,4001
