City,State,station_count,total_ports,city_state
Los Angeles,CA,1889,7839,"Los Angeles, CA"
San Diego,CA,886,2960,"San Diego, CA"
Irvine,CA,775,1694,"Irvine, CA"
Atlanta,GA,740,2345,"Atlanta, GA"
Boston,MA,728,1808,"Boston, MA"
Austin,TX,694,1731,"Austin, TX"
Seattle,WA,670,1770,"Seattle, WA"
San Jose,CA,651,2279,"San Jose, CA"
San Francisco,CA,632,1561,"San Francisco, CA"
Sacramento,CA,463,1757,"Sacramento, CA"
Kansas City,MO,453,902,"Kansas City, MO"
Denver,CO,433,1427,"Denver, CO"
New York,NY,422,1848,"New York, NY"
Houston,TX,395,1447,"Houston, TX"
Santa Clara,CA,370,852,"Santa Clara, CA"
Phoenix,AZ,347,901,"Phoenix, AZ"
Miami,FL,345,1194,"Miami, FL"
Nashville,TN,337,871,"Nashville, TN"
Columbus,OH,335,838,"Columbus, OH"
Chicago,IL,328,1125,"Chicago, IL"
Bellevue,WA,324,722,"Bellevue, WA"
Orlando,FL,324,1316,"Orlando, FL"
Cambridge,MA,324,704,"Cambridge, MA"
Washington,DC,322,1128,"Washington, DC"
Las Vegas,NV,319,1478,"Las Vegas, NV"
Pittsburgh,PA,309,743,"Pittsburgh, PA"
Menlo Park,CA,305,616,"Menlo Park, CA"
Charlotte,NC,284,905,"Charlotte, NC"
Detroit,MI,260,825,"Detroit, MI"
San Mateo,CA,255,700,"San Mateo, CA"
Dallas,TX,253,733,"Dallas, TX"
Portland,OR,250,717,"Portland, OR"
Baltimore,MD,240,785,"Baltimore, MD"
Santa Monica,CA,238,695,"Santa Monica, CA"
Anaheim,CA,238,723,"Anaheim, CA"
Rochester,NY,223,720,"Rochester, NY"
Tampa,FL,223,840,"Tampa, FL"
Raleigh,NC,211,558,"Raleigh, NC"
Arlington,VA,206,643,"Arlington, VA"
Long Beach,CA,205,566,"Long Beach, CA"
Redwood City,CA,200,446,"Redwood City, CA"
Palo Alto,CA,200,578,"Palo Alto, CA"
San Antonio,TX,198,577,"San Antonio, TX"
Salt Lake City,UT,194,558,"Salt Lake City, UT"
South San Francisco,CA,193,468,"South San Francisco, CA"
Boulder,CO,192,454,"Boulder, CO"
Fresno,CA,186,513,"Fresno, CA"
Albany,NY,182,598,"Albany, NY"
Sunnyvale,CA,176,479,"Sunnyvale, CA"
Brooklyn,NY,174,805,"Brooklyn, NY"
Buffalo,NY,166,464,"Buffalo, NY"
Tucson,AZ,164,448,"Tucson, AZ"
Philadelphia,PA,164,475,"Philadelphia, PA"
Jacksonville,FL,158,525,"Jacksonville, FL"
Torrance,CA,157,440,"Torrance, CA"
Richmond,VA,156,405,"Richmond, VA"
San Bernardino,CA,152,481,"San Bernardino, CA"
Oakland,CA,150,568,"Oakland, CA"
New Haven,CT,149,466,"New Haven, CT"
Fremont,CA,149,391,"Fremont, CA"
Overland Park,KS,148,326,"Overland Park, KS"
Minneapolis,MN,144,348,"Minneapolis, MN"
Scottsdale,AZ,144,470,"Scottsdale, AZ"
Mountain View,CA,144,431,"Mountain View, CA"
Albuquerque,NM,142,323,"Albuquerque, NM"
Spokane,WA,129,298,"Spokane, WA"
Hayward,CA,128,350,"Hayward, CA"
Napa,CA,128,361,"Napa, CA"
Burbank,CA,126,286,"Burbank, CA"
Honolulu,HI,125,349,"Honolulu, HI"
Cincinnati,OH,124,445,"Cincinnati, OH"
Fullerton,CA,123,252,"Fullerton, CA"
Plano,TX,121,339,"Plano, TX"
Ann Arbor,MI,121,263,"Ann Arbor, MI"
