State,station_count,total_ports
CA,18988,63103
NY,5118,18997
FL,4183,14199
MA,4139,10581
TX,3714,11860
WA,2823,7915
CO,2659,7174
GA,2300,7229
MI,1974,5330
PA,1954,5542
NC,1889,5664
OH,1888,5114
VA,1799,5350
NJ,1742,5709
IL,1693,5422
MD,1663,5392
OR,1612,4169
CT,1502,4653
AZ,1470,4568
MO,1304,3170
TN,1098,2987
MN,1085,3028
UT,966,2912
WI,840,2174
IN,683,2028
ME,650,1591
SC,648,2037
NV,641,2651
KS,574,1342
AL,542,1663
VT,533,1377
IA,480,1238
NM,445,1134
OK,385,1627
KY,379,1095
HI,373,970
AR,365,1085
RI,335,840
DC,322,1128
NE,317,703
NH,286,778
LA,278,858
ID,240,664
DE,222,722
MS,217,662
WV,186,553
MT,157,475
SD,120,345
WY,119,329
ND,109,278
AK,76,207
