state_standardized,Adequate Coverage,Charging Desert,total_areas,desert_share_percent
AK,68.0,177.0,245.0,72.24
MT,260.0,108.0,368.0,29.35
ND,304.0,84.0,388.0,21.65
HI,81.0,16.0,97.0,16.49
WY,165.0,13.0,178.0,7.3
SD,350.0,25.0,375.0,6.67
NV,172.0,10.0,182.0,5.49
KS,667.0,35.0,702.0,4.99
NE,557.0,29.0,586.0,4.95
ID,273.0,11.0,284.0,3.87
AZ,402.0,16.0,418.0,3.83
OR,419.0,10.0,429.0,2.33
AR,602.0,13.0,615.0,2.11
NM,364.0,7.0,371.0,1.89
TX,1958.0,30.0,1988.0,1.51
ME,420.0,6.0,426.0,1.41
LA,532.0,7.0,539.0,1.3
UT,294.0,3.0,297.0,1.01
CO,524.0,4.0,528.0,0.76
MS,448.0,3.0,451.0,0.67
MN,877.0,4.0,881.0,0.45
MI,988.0,4.0,992.0,0.4
OK,663.0,2.0,665.0,0.3
FL,1014.0,2.0,1016.0,0.2
CA,1803.0,1.0,1804.0,0.06
WV,738.0,0.0,738.0,0.0
WI,784.0,0.0,784.0,0.0
WA,606.0,0.0,606.0,0.0
VT,267.0,0.0,267.0,0.0
VA,890.0,0.0,890.0,0.0
GA,726.0,0.0,726.0,0.0
DE,68.0,0.0,68.0,0.0
TN,637.0,0.0,637.0,0.0
SC,424.0,0.0,424.0,0.0
RI,81.0,0.0,81.0,0.0
PA,1831.0,0.0,1831.0,0.0
DC,73.0,0.0,73.0,0.0
MA,540.0,0.0,540.0,0.0
MD,480.0,0.0,480.0,0.0
NY,1824.0,0.0,1824.0,0.0
IA,971.0,0.0,971.0,0.0
NJ,601.0,0.0,601.0,0.0
NH,246.0,0.0,246.0,0.0
IL,1397.0,0.0,1397.0,0.0
CT,290.0,0.0,290.0,0.0
NC,855.0,0.0,855.0,0.0
IN,807.0,0.0,807.0,0.0
AL,655.0,0.0,655.0,0.0
MO,1036.0,0.0,1036.0,0.0
KY,780.0,0.0,780.0,0.0
OH,1234.0,0.0,1234.0,0.0
